KREIS;GEMEINDE;TYP;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT;NORDWERT;GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;AKTENZEICHEN;DATENDATUM;DATENQUELLE
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 102,5dB(A) nachts";2000;kW Nennleist. Rotor.;504945;5972648;20.12.2007;26.11.2010;in Betrieb;51011003797;0001;G10/2007/040;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104 dB(A) tags; 99,5dB(A) nachts";2000;kW Nennleist. Rotor.;504517;5972784;20.12.2007;26.11.2010;in Betrieb;51011003798;0001;G10/2007/042;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags;  99,5 dB(A) nachts";2000;kW Nennleist. Rotor.;505216;5972790;20.12.2007;26.11.2010;in Betrieb;51011003798;0002;G10/2007/045;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 99,5dB(A) nachts";2000;kW Nennleist. Rotor.;505679;5972602;20.12.2007;26.11.2010;in Betrieb;51011003799;0001;G10/2007/043;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 99,5dB(A) nachts";2000;kW Nennleist. Rotor.;505470;5972690;20.12.2007;26.11.2010;in Betrieb;51011003800;0001;G10/2007/044;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 99,5 dB(A) nachts";2000;kW Nennleist. Rotor.;504997;5972878;20.12.2007;26.11.2010;in Betrieb;51011003801;0001;G10/2007/046;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Enercon E-82 E2;Enercon;78;82;105,0 dB(A) 96,1 dB(A);2300;kW Nennleist. Rotor.;504835;5973788;07.04.2014;29.07.2014;in Betrieb;51011003802;0001;G10/2013/191;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 1 Enercon E-115;Enercon;92;115,7;107,0 dB(A) / 96,0 dB(A);3000;kW Nennleist. Rotor.;508615;5976247;28.12.2016;18.08.2017;in Betrieb;51011003803;0001;G10/2016/026;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 2 Enercon E-101;Enercon;99;101;107,5 dB(A) / 97,0 dB(A);3050;kW Nennleist. Rotor.;508950;5976325;28.12.2016;28.07.2017;in Betrieb;51011003803;0002;G10/2016/027;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 3 Enercon E-101;Enercon;99;101;107,5 dB(A) / 102,0 dB(A);3050;kW Nennleist. Rotor.;509206;5976057;28.12.2016;25.07.2017;in Betrieb;51011003803;0003;G10/2016/028;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 4 Enercon E-115;Enercon;92;115,7;107,0 dB(A) / 101,8 dB(A);3000;kW Nennleist. Rotor.;509371;5975633;28.12.2016;31.07.2017;in Betrieb;51011003803;0004;G10/2016/029;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 5 Enercon E-115;Enercon;92;115,7;107,0 dB(A) / 105,4 dB(A);3000;kW Nennleist. Rotor.;509655;5975442;28.12.2016;28.07.2017;in Betrieb;51011003803;0005;G10/2016/030;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Senvion 3.2M 114;Senvion;93;114;104,2 dB(A) 101,4 dB(A);3200;kW Nennleist. Rotor.;507680;5974918;06.04.2017;31.12.2020;in Betrieb;51011003805;0001;G10/2016/054;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Nordex N100;Nordex;100;99,8;105,5 dB(A) / 101,5 dB(A);3300;kW Nennleist. Rotor.;507473;5975551;13.04.2015;13.06.2016;in Betrieb;51011003807;0001;G10/2014/147;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 3 Nordex N100;Nordex;100;99,8;105,5 dB(A) / 101,5 dB(A);3300;kW Nennleist. Rotor.;507784;5975256;13.04.2015;29.06.2016;in Betrieb;51011003808;0001;G10/2014/149;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 2 Nordex N100/3300;Nordex;100;99,8;105,5dB(A) / 104,4dB(A);3300;kW Nennleist. Rotor.;508202;5975756;02.06.2015;28.06.2016;in Betrieb;51011003810;0001;G10/2014/184;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 4 Nordex N100 3,3MW;Nordex;100;99,8;105,5 dB(A) / 103,5dB(A);3300;kW Nennleist. Rotor.;508500;5975298;02.06.2015;30.06.2016;in Betrieb;51011003811;0001;G10/2014/186;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 3 Nordex N100/3,3MW;Nordex;100;99,8;105,5db(A) / 101,0dB(A);3300;kW Nennleist. Rotor.;508102;5975368;02.06.2015;30.06.2016;in Betrieb;51011003814;0003;G10/2014/185;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 2 Nordex N100;Nordex;100;99,8;105,5 dB(A) / 101,5  dB(A);3300;kW Nennleist. Rotor.;507463;5975236;13.04.2015;22.06.2016;in Betrieb;51011003827;0001;G10/2014/148;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Nordex133/4.8 STE (NH 110 m);Nordex;110;133;;4800;kW Nennleist. Rotor.;506856;5976314;;;im Gen.Verf.;51011003836;0001;G10/2022/126V;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Nordex133/4.8 STE;Nordex;125,4;133;;4800;kW Nennleist. Rotor.;506601;5976099;;;im Gen.Verf.;51011003836;0002;G10/2022/127V;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Nordex133/4.8 STE (NH 110 m);Nordex;110;133;;4800;kW Nennleist. Rotor.;506257;5975920;;;im Gen.Verf.;51011003836;0003;G10/2022/128V;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Nordex133/4.8 STE (NH 125,4 m);Nordex;125,4;133;;4800;kW Nennleist. Rotor.;506846;5975785;;;im Gen.Verf.;51011003836;0004;G10/2022/129V;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Nordex133/4.8 STE (NH 125,4 m);Nordex;125,4;133;;4800;kW Nennleist. Rotor.;506540;5975802;;;im Gen.Verf.;51011003836;0005;G10/2022/130V;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Nordex133/4.8 STE (NH 125,4 m);Nordex;125,4;133;;4800;kW Nennleist. Rotor.;506830;5975479;;;im Gen.Verf.;51011003836;0006;G10/2022/131V;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Repower MD 70/1,5MW;REpower;65;70;104;1500;kW Nennleist. Rotor.;512174;5971396;07.10.2003;18.05.2004;in Betrieb;51011515468;0001;V/3.6133.0-01-00158/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Repower MD 70/1,5MW;REpower;65;70;104;1500;kW Nennleist. Rotor.;512539;5971405;07.10.2003;18.05.2004;in Betrieb;51011515468;0002;V/3.6133.0-01-00158/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;AN Bonus 37;AN BONUS;42,3;37;99;500;kW Nennleist. Rotor.;511982;5971375;18.10.1993;17.02.1994;in Betrieb;51011515470;0001;III/3.613.0-01-00113/19;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80 2,0MW;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506117;5975955;07.07.2003;31.12.2004;in Betrieb;51011515473;0001;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506311;5975797;07.07.2003;31.12.2004;in Betrieb;51011515473;0002;G32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506518;5975637;07.07.2003;31.12.2004;in Betrieb;51011515473;0003;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506772;5975360;07.07.2003;31.12.2004;in Betrieb;51011515473;0004;G32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506990;5975522;07.07.2003;31.12.2004;in Betrieb;51011515473;0005;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506804;5975689;07.07.2003;31.12.2004;in Betrieb;51011515473;0006;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506538;5975926;07.07.2003;31.12.2004;in Betrieb;51011515473;0007;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506357;5976107;07.07.2003;31.12.2004;in Betrieb;51011515473;0008;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506587;5976235;07.07.2003;31.12.2004;in Betrieb;51011515473;0009;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Vestas V80;Vestas;60;80;101,5;2000;kW Nennleist. Rotor.;506850;5976338;07.07.2005;31.12.2004;in Betrieb;51011515473;0010;G 32/02;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon E66 1,5 MW;Enercon;68;66;103;1500;kW Nennleist. Rotor.;513990;5971806;11.09.1995;27.03.1997;in Betrieb;51011515479;0001;224/95;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Micon M2300 1MW;Micon;60;54;103,7 dB(A);1000;kW Nennleist. Rotor.;513562;5971428;25.02.1997;01.04.1997;in Betrieb;51011515487;0001;V/5.613.0-01-256+257;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA AN Bonus;AN BONUS;50;52;105,5 dB(A);1000;kW Nennleist. Rotor.;513814;5971430;31.12.1899;31.12.1899;in Betrieb;51011515487;0002;???;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Nordex 52/800;Nordex;60;52;105,4 dB(A)/105,4 dB(A);800;kW Nennleist. Rotor.;507077;5973990;30.03.1994;20.04.1995;in Betrieb;51011515507;0001;94/94;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon E82;Enercon;98;82;"104dB(A) tags; 103 dB(A) nachts";2000;kW Nennleist. Rotor.;504289;5972822;20.12.2007;26.11.2010;in Betrieb;51011515520;0018;G10/2007/048;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 1 Enercon E82 E2 2,3 MW;Enercon;78;82;105,0;2300;kW Nennleist. Rotor.;505270;5974480;12.03.2013;11.12.2013;in Betrieb;51011900017;0001;G10/2012/058;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Enercon E82;Enercon;78;82;105;2300;kW Nennleist. Rotor.;505162;5973965;12.03.2013;19.12.2013;in Betrieb;51011900017;0002;G10/2012/059;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Enercon E82 E2;Enercon;78;82;105;2300;kW Nennleist. Rotor.;505493;5974142;12.03.2013;19.12.2013;in Betrieb;51011900017;0003;G10/2012/060;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Enercon E82 E2;Enercon;78;82;100,5;2300;kW Nennleist. Rotor.;505586;5973697;12.03.2013;20.11.2013;in Betrieb;51011900017;0004;G10/2012/061;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Enercon E82 E2;Enercon;78;82;100,5;2300;kW Nennleist. Rotor.;505747;5973517;12.03.2013;25.11.2013;in Betrieb;51011900017;0005;G10/2012/062;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA Enercon E82 E2;Enercon;78,33;82;HZ /dB(A) | 63/78,8 | 125/83,9 | 250/86 | 500/88,4 | 1000/90,3 | 2000/89 | 4000/80,5 | 8000/ | SLP=95,3 dB(A);2300;kW Nennleist. Rotor.;505217;5973683;07.07.2022;;vor Inbetriebnahme;51011900017;0006;G10/2021/335;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon E-101;Enercon;99;101;107 dB(A) / 99,3dB(A);3050;kW Nennleist. Rotor.;507063;5975264;31.07.2014;13.07.2015;in Betrieb;51011900019;0001;G10/2013/137;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 4 REpower 3.4 M;REpower;80;104;105,6 dB(A)/ 100 dB(A);3400;kW Nennleist. Rotor.;505594;5974952;01.08.2014;23.10.2015;in Betrieb;51011900021;0001;G10/2013/176;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 4 Nordex N100;Nordex;100;99,8;105,5 dB(A) / 104,5 dB(A);3300;kW Nennleist. Rotor.;507221;5974963;13.04.2015;26.06.2016;in Betrieb;51011900024;0004;G10/2014/150;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 1 Nordex N100-3.3MW;Nordex;100;99,8;105,5dB(A) / 101,0dB(A);3300;kW Nennleist. Rotor.;507868;5975625;02.06.2015;29.06.2016;in Betrieb;51011900026;0001;G10/2014/183;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Diekhusen-Fahrstedt;Enercon E-82 E2;Enercon;108;82;105,0 dB(A)/100,5 dB(A);2300;kW Nennleist. Rotor.;500017;5975491;19.11.2014;13.11.2015;in Betrieb;51021000003;0003;G10/2014/005;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Diekhusen-Fahrstedt;WKA E-82 E2 Enercon;Enercon;108;82;105,0 dB(A)/104,0 dB(A);2300;kW Nennleist. Rotor.;500161;5975226;19.11.2014;04.11.2015;in Betrieb;51021000004;0001;G10/2014/006;10.10.2023;LfU SH, Abtl. 7
